og_index,tconst
1113581,10253302
1113678,10253466
1113766,10253614
1113885,10253816
1114088,10254164
1114257,10254472
1114440,10254784
1114552,10254986
1114658,10255170
1114745,10255320
1114773,10255374
1114882,10255560
1115064,10255880
1115112,10255966
1115176,10256094
1115201,10256174
1115213,10256196
1115307,10256368
1115423,10256570
1115535,10256766
1115556,10256800
1115566,10256818
1115609,10256894
1115665,10256990
1115755,10257148
1115820,10257258
1116190,10257924
1116214,10257964
1116921,10259162
1116959,10259230
1117131,10259534
1117316,10259846
1117424,10260028
1117432,10260042
1117438,10260052
1117575,10260294
1117620,10260370
1117626,10260382
1117628,10260386
1117635,10260398
1117641,10260408
1117710,10260534
1117721,10260554
1117789,10260672
1117818,10260722
1117867,10260810
1118031,10261100
1118129,10261274
1118163,10261338
1118206,10261416
1118590,10262112
1118616,10262160
1118620,10262168
1118676,10262268
1118721,10262346
1118806,10262492
1118822,10262522
1118849,10262568
1118887,10262632
1119043,10262904
1119114,10263026
1119254,10263270
1119266,10263296
1119281,10263320
1119384,10263514
1119458,10263670
1119630,10263986
1119645,10264016
1119709,10264140
1119955,10264562
1120012,10264668
1120050,10264732
1120273,10265116
1120361,10265262
1120465,10265444
1120688,10265824
1120735,10265906
1120750,10265934
1120902,10266190
1121109,10266542
1121388,10267020
1121420,10267080
1121603,10267396
1121624,10267430
1121627,10267436
1121727,10267608
1121764,10267672
1121782,10267704
1121792,10267720
1121882,10267894
1122062,10268220
1122074,10268240
1122119,10268316
1122186,10268436
1122222,10268496
1122244,10268532
1122309,10268648
1122313,10268654
1122339,10268708
1122371,10268762
1122377,10268772
1122516,10269016
1122770,10269474
1122851,10269620
1123071,10270008
1123134,10270114
1123139,10270122
1123269,10270344
1123333,10270458
1123386,10270548
1123412,10270592
1123436,10270632
1123614,10270944
1123700,10271094
1123950,10271516
1124385,10272264
1124401,10272290
1124500,10272460
1124544,10272534
1124795,10272966
1124859,10273074
1124934,10273202
1125038,10273384
1125667,10274466
1125740,10274594
1125742,10274598
1125753,10274618
1125758,10274626
1125765,10274638
1125824,10274744
1125932,10274930
1125951,10274962
1125967,10274992
1126009,10275068
1126066,10275180
1126187,10275398
1126212,10275440
1126256,10275524
1126274,10275556
1126316,10275636
1126484,10275936
